id,program_name,university_name,official_url,review_status,suggested_original_fee_rule,rationale
poland-university-of-information-technology-and-management-aviation-management-rzeszow-bachelor,Aviation management,University of Information Technology and Management,http://kandydaci.wsiz.rzeszow.pl/en/academic-programmes/undergraduate-programmes/aviation-management,unresolved,,No safe fee rule found yet
poland-adam-mickiewicz-university-poznan-balkan-studies-poznan-bachelor,Balkan studies,"Adam Mickiewicz University, Poznań",https://cebs.amu.edu.pl/,unresolved,,No safe fee rule found yet
poland-nicolaus-copernicus-university-biological-sciences-torun-master,Biological Sciences,Nicolaus Copernicus University,https://www.bio.umk.pl/student/global-change-biology/,unresolved,,No safe fee rule found yet
poland-silesian-university-of-technology-biomedical-engineering-gliwice-bachelor,Biomedical engineering,Silesian University of Technology,https://apply.polsl.pl/en_GB/courses/course/920-bsc-biomedical-engineering--information-systems-medicine?search=394810,unresolved,,No safe fee rule found yet
poland-silesian-university-of-technology-biotechnology-gliwice-bachelor,Biotechnology,Silesian University of Technology,https://apply.polsl.pl/en_GB/courses/course/943-bsc-biotechnology?search=399167,unresolved,,No safe fee rule found yet
poland-silesian-university-of-technology-biotechnology-gliwice-master,Biotechnology,Silesian University of Technology,https://apply.polsl.pl/en_GB/courses/course/29-msc-biotechnologybiofuels?search=399167,unresolved,,No safe fee rule found yet
poland-adam-mickiewicz-university-poznan-biotechnology-poznan-master,Biotechnology,"Adam Mickiewicz University, Poznań","https://rekrutacja.amu.edu.pl/en/studies-cataloge/biotechnology,483",unresolved,,No safe fee rule found yet
poland-poznan-university-of-life-sciences-biotechnology-poznan-master,Biotechnology,Poznań University of Life Sciences,https://dwm.up.poznan.pl/node/77,unresolved,,No safe fee rule found yet
poland-warsaw-university-of-life-sciences-sggw-biotechnology-warsaw-bachelor,Biotechnology,Warsaw University of Life Sciences - SGGW,https://wbib.sggw.edu.pl/biotechnology-bachelors-degree-programme/,unresolved,,No safe fee rule found yet
poland-the-john-paul-ii-catholic-university-of-lublin-biotechnology-lublin-master,Biotechnology,The John Paul II Catholic University of Lublin,https://kandydat.kul.pl/en/studia-ii-stopnia/biotechnologia-studia-ii-stopnia-grupa-w-jezyku-angielskim/,conditional,85 PLN or 100 PLN,Programme-specific entrance-exam risk
poland-the-john-paul-ii-catholic-university-of-lublin-biotechnology-lublin-bachelor,Biotechnology,The John Paul II Catholic University of Lublin,https://kandydat.kul.pl/en/strona-glowna/studia-i-stopnia/biotechnologia-grupa-jezyku-angielskim/,conditional,85 PLN or 100 PLN,Programme-specific entrance-exam risk
poland-university-of-agriculture-in-krakow-biotechnology-krakow-master,Biotechnology,University of Agriculture in Krakow,https://urk.edu.pl/en/study/study-in-english/master-studies/programs,unresolved,,No safe fee rule found yet
poland-the-university-of-dabrowa-gornicza-business-administration-dabrowa-gornicza-short-course,Business administration,The University of Dąbrowa Górnicza,http://www.wsb.edu.pl/index.php?idg=en,unresolved,,No safe fee rule found yet
poland-wroc-aw-university-of-economics-and-business-business-administration-wroc-aw-master,Business administration,Wrocław University of Economics and Business,https://emba.uew.pl/en/,unresolved,,No safe fee rule found yet
poland-jagiellonian-university-in-krakow-business-and-finance-management-krakow-master,Business and Finance Management,Jagiellonian University in Kraków,https://studia.uj.edu.pl/en_GB/kierunki/wziks/busine.fina.mana,unresolved,,No safe fee rule found yet
poland-wroc-aw-university-of-economics-and-business-business-management-wroc-aw-master,Business management,Wrocław University of Economics and Business,https://rekrutacja.uew.pl/kierunki-studiow/business-management-ii/,unresolved,,No safe fee rule found yet
poland-wroc-aw-university-of-economics-and-business-business-management-wroc-aw-bachelor,Business management,Wrocław University of Economics and Business,https://rekrutacja.uew.pl/kierunki-studiow/business-management/,unresolved,,No safe fee rule found yet
poland-rzeszow-university-of-technology-chemical-engineering-rzeszow-master,Chemical engineering,Rzeszow University of Technology,http://portal.prz.edu.pl/en/msc-coursesinenglish/chemistry/,unresolved,,No safe fee rule found yet
poland-agh-university-of-krakow-chemical-technology-krakow-master,Chemical technology,AGH University of Krakow,https://sylabusy.agh.edu.pl/en/1/2/20/1/5/13/43,unresolved,,No safe fee rule found yet
poland-cracow-university-of-technology-chemical-technology-krakow-master,Chemical technology,Cracow University of Technology,http://iro.pk.edu.pl/msc-chemical-technology/,unresolved,,No safe fee rule found yet
poland-nicolaus-copernicus-university-chemistry-torun-bachelor,Chemistry,Nicolaus Copernicus University,http://www.umk.pl/en/admissions/in_english/chemistry/,unresolved,,No safe fee rule found yet
poland-jan-dlugosz-university-in-czestochowa-chemistry-czestochowa-phd,Chemistry,Jan Dlugosz University in Czestochowa,https://go-poland.pl/university/jan-dlugosz-university-czestochowa,unresolved,,No safe fee rule found yet
poland-university-of-warsaw-chemistry-warsaw-master,Chemistry,University of Warsaw,https://irk.uw.edu.pl/katalog.php?op=info&id=S2-CH-ANG&kategoria=studia_5⟨=en,conditional,85 PLN or 100 PLN,Programme-level exam rules still vary by pathway
poland-military-university-of-technology-chemistry-warsaw-phd,Chemistry,Military University of Technology,https://go-poland.pl/university/military-university-technology,unresolved,,No safe fee rule found yet
poland-silesian-university-of-technology-circular-economy-gliwice-bachelor,Circular Economy,Silesian University of Technology,https://apply.polsl.pl/en_GB/courses/course/963-bsc-circular-economy?search=399167,unresolved,,No safe fee rule found yet
poland-kielce-university-of-technology-civil-engineering-kielce-bachelor,Civil engineering,Kielce University of Technology,https://irk.usos.tu.kielce.pl/en-gb/offer/S1_2024-2025_CDZ/programme/B-BUD-EN-ST1/?from=registration%3AS1_2024-2025_CDZ,unresolved,,No safe fee rule found yet
poland-rzeszow-university-of-technology-civil-engineering-rzeszow-bachelor,Civil engineering,Rzeszow University of Technology,http://portal.prz.edu.pl/en/bachelor-courses-in-english/,unresolved,,No safe fee rule found yet
poland-cracow-university-of-technology-civil-engineering-krakow-master,Civil engineering,Cracow University of Technology,http://iro.pk.edu.pl/msc-civil-engineering/,unresolved,,No safe fee rule found yet
poland-cracow-university-of-technology-civil-engineering-krakow-bachelor,Civil engineering,Cracow University of Technology,http://iro.pk.edu.pl/bsc-civil-engineering/,unresolved,,No safe fee rule found yet
poland-silesian-university-of-technology-civil-engineering-gliwice-bachelor,Civil engineering,Silesian University of Technology,https://apply.polsl.pl/courses/course/65-bsc-civil-engineering?search=610,unresolved,,No safe fee rule found yet
poland-nicolaus-copernicus-university-cognitive-science-torun-master,Cognitive science,Nicolaus Copernicus University,https://kognitywistyka.umk.pl/pages/cognitive_science/,unresolved,,No safe fee rule found yet
