id,program_name,university_name,original_deadline,action_taken
poland-nicolaus-copernicus-university-english-studies-torun-master,English studies,Nicolaus Copernicus University,2024-08-04,Cleared stale deadline
poland-nicolaus-copernicus-university-english-studies-torun-bachelor,English studies,Nicolaus Copernicus University,2024-08-04,Cleared stale deadline
poland-wroc-aw-university-of-science-and-technology-environmental-engineering-wroc-aw-master,Environmental engineering,Wrocław University of Science and Technology,2021-11-30,Cleared stale deadline
poland-university-of-warmia-and-mazury-in-olsztyn-environmental-engineering-olsztyn-bachelor,Environmental engineering,University of Warmia and Mazury in Olsztyn,2020-07-07,Cleared stale deadline
poland-warsaw-university-of-technology-environmental-engineering-warsaw-master,Environmental engineering,Warsaw University of Technology,2025-07-21,Cleared stale deadline
poland-university-of-warmia-and-mazury-in-olsztyn-environmental-engineering-olsztyn-master,Environmental engineering,University of Warmia and Mazury in Olsztyn,2021-02-12,Cleared stale deadline
poland-warsaw-university-of-technology-environmental-engineering-warsaw-bachelor,Environmental engineering,Warsaw University of Technology,2025-07-21,Cleared stale deadline
poland-kielce-university-of-technology-environmental-engineering-kielce-bachelor,Environmental engineering,Kielce University of Technology,2024-08-31,Cleared stale deadline
poland-gdansk-university-of-technology-environmental-engineering-gdansk-master,Environmental engineering,Gdańsk University of Technology,2024-02-05,Cleared stale deadline
poland-rzeszow-university-of-technology-environmental-engineering-rzeszow-bachelor,Environmental engineering,Rzeszow University of Technology,2015-07-20,Cleared stale deadline
poland-bialystok-university-of-technology-environmental-engineering-bia-ystok-bachelor,Environmental engineering,Bialystok University of Technology,2016-08-15,Cleared stale deadline
poland-bialystok-university-of-technology-environmental-engineering-bia-ystok-master,Environmental engineering,Bialystok University of Technology,2017-01-15,Cleared stale deadline
poland-silesian-university-of-technology-environmental-engineering-gliwice-bachelor,Environmental engineering,Silesian University of Technology,2020-09-15,Cleared stale deadline
poland-poznan-university-of-life-sciences-environmental-engineering-and-protection-poznan-master,Environmental Engineering and Protection,Poznań University of Life Sciences,2025-06-30,Cleared stale deadline
poland-wroc-aw-university-of-science-and-technology-environmental-management-wroc-aw-master,Environmental management,Wrocław University of Science and Technology,2021-08-14,Cleared stale deadline
poland-university-of-warsaw-environmental-management-warsaw-master,Environmental management,University of Warsaw,2016-09-04,Cleared stale deadline
poland-adam-mickiewicz-university-poznan-environmental-protection-poznan-master,Environmental protection,"Adam Mickiewicz University, Poznań",2023-07-21,Cleared stale deadline
poland-university-of-agriculture-in-krakow-environmental-protection-agriculture-in-krakow-master,Environmental protection,University of Agriculture in Krakow,2017-02-12,Cleared stale deadline
poland-jagiellonian-university-in-krakow-environmental-protection-and-management-krakow-master,Environmental Protection and Management,Jagiellonian University in Kraków,2024-05-28,Cleared stale deadline
poland-jagiellonian-university-in-krakow-erasmus-mundus-international-master-in-central-and-east-european-russ,"Erasmus Mundus International Master in Central and East European, Russian and Eurasian Studies",Jagiellonian University in Kraków,2024-05-01,Cleared stale deadline
poland-jagiellonian-university-in-krakow-erasmus-mundus-joint-master-degree-in-european-politics-and-society-e,Erasmus Mundus Joint Master Degree in European Politics and Society (EPS): Vaclav Havel,Jagiellonian University in Kraków,2024-08-28,Cleared stale deadline
poland-adam-mickiewicz-university-poznan-ethnology-poznan-master,Ethnology,"Adam Mickiewicz University, Poznań",2023-10-16,Cleared stale deadline
poland-jagiellonian-university-in-krakow-european-studies-krakow-bachelor,European studies,Jagiellonian University in Kraków,2024-08-28,Cleared stale deadline
poland-the-john-paul-ii-catholic-university-of-lublin-european-studies-lublin-bachelor,European Studies,The John Paul II Catholic University of Lublin,2024-03-01,Cleared stale deadline
poland-jagiellonian-university-in-krakow-european-studies-krakow-master,European Studies,Jagiellonian University in Kraków,2024-08-28,Cleared stale deadline
poland-the-john-paul-ii-catholic-university-of-lublin-european-union-law-lublin-master,European Union Law,The John Paul II Catholic University of Lublin,2024-03-01,Cleared stale deadline
poland-wroc-aw-university-of-economics-and-business-finance-wroc-aw-bachelor,Finance,Wrocław University of Economics and Business,2024-08-01,Cleared stale deadline
poland-vistula-university-finance-and-accounting-warsaw-master,Finance and accounting,Vistula University,2024-05-31,Cleared stale deadline
poland-sgh-warsaw-school-of-economics-finance-and-accounting-warsaw-master,Finance and accounting,SGH Warsaw School of Economics,2024-07-24,Cleared stale deadline
poland-vistula-university-finance-and-accounting-warsaw-bachelor,Finance and accounting,Vistula University,2024-05-31,Cleared stale deadline
poland-university-of-zielona-gora-finance-and-accounting-zielona-gora-master,Finance and accounting,University of Zielona Góra,2025-10-01,Cleared stale deadline
poland-poznan-university-of-economics-and-business-finance-and-accounting-poznan-bachelor,Finance and accounting,Poznań University of Economics and Business,2017-06-01,Cleared stale deadline
poland-university-of-zielona-gora-finance-and-accounting-zielona-gora-bachelor,Finance and accounting,University of Zielona Góra,2025-10-01,Cleared stale deadline
poland-university-of-gdansk-finance-and-accounting-gdansk-master,Finance and accounting,University of Gdansk,2020-08-31,Cleared stale deadline
poland-university-of-gdansk-finance-and-accounting-gdansk-bachelor,Finance and accounting,University of Gdansk,2020-08-24,Cleared stale deadline
poland-university-college-of-enterprise-and-administration-in-lublin-finance-and-accounting-lublin-bachelor,Finance and accounting,University College of Enterprise and Administration in Lublin,2016-08-31,Cleared stale deadline
poland-university-of-warsaw-finance-investments-and-accounting-warsaw-bachelor,"Finance, investments and accounting",University of Warsaw,2016-07-08,Cleared stale deadline
poland-university-of-warsaw-finance-investments-and-accounting-warsaw-master,"Finance, investments and accounting",University of Warsaw,2016-07-11,Cleared stale deadline
poland-jan-dlugosz-university-in-czestochowa-fine-art-czestochowa-phd,Fine art.,Jan Dlugosz University in Czestochowa,2024-07-31,Cleared stale deadline
poland-university-of-warmia-and-mazury-in-olsztyn-fisheries-sciences-olsztyn-bachelor,Fisheries sciences,University of Warmia and Mazury in Olsztyn,2020-07-07,Cleared stale deadline
poland-university-of-warmia-and-mazury-in-olsztyn-fisheries-sciences-olsztyn-master,Fisheries sciences,University of Warmia and Mazury in Olsztyn,2020-07-07,Cleared stale deadline
poland-university-of-agriculture-in-krakow-food-science-krakow-master,Food science,University of Agriculture in Krakow,2024-07-14,Cleared stale deadline
poland-wroc-aw-university-of-environmental-and-life-sciences-food-technology-and-human-nutrition-wroc-aw-phd,Food technology and human nutrition,Wrocław University of Environmental and Life Sciences,2022-05-30,Cleared stale deadline
poland-university-of-agriculture-in-krakow-food-technology-and-human-nutrition-krakow-master,Food technology and human nutrition,University of Agriculture in Krakow,2024-07-14,Cleared stale deadline
poland-university-of-agriculture-in-krakow-food-technology-and-human-nutrition-krakow-bachelor,Food technology and human nutrition,University of Agriculture in Krakow,2024-07-14,Cleared stale deadline
poland-wroc-aw-university-of-environmental-and-life-sciences-food-technology-and-human-nutrition-wroc-aw-maste,Food technology and human nutrition,Wrocław University of Environmental and Life Sciences,2025-02-01,Cleared stale deadline
poland-university-of-warmia-and-mazury-in-olsztyn-general-informatics-olsztyn-bachelor,General informatics,University of Warmia and Mazury in Olsztyn,2020-07-07,Cleared stale deadline
poland-university-of-warmia-and-mazury-in-olsztyn-geodesy-and-cartography-olsztyn-bachelor,Geodesy and cartography,University of Warmia and Mazury in Olsztyn,2020-07-07,Cleared stale deadline
poland-university-of-warmia-and-mazury-in-olsztyn-geodesy-and-cartography-olsztyn-master,Geodesy and cartography,University of Warmia and Mazury in Olsztyn,2020-07-07,Cleared stale deadline
poland-university-of-silesia-in-katowice-geografia-specjalnosc-geographic-information-systems-silesia-in-katow,Geografia specjalność: Geographic Information Systems,University of Silesia in Katowice,2024-09-22,Cleared stale deadline
poland-wroc-aw-university-of-environmental-and-life-sciences-geoinformation-science-earth-observation-and-spat,"Geoinformation Science, Earth Observation and Spatial Management",Wrocław University of Environmental and Life Sciences,2022-05-30,Cleared stale deadline
poland-wroc-aw-university-of-science-and-technology-geoinformation-science-earth-observation-and-spatial-manag,"Geoinformation Science, Earth Observation and Spatial Management",Wrocław University of Science and Technology,2021-11-30,Cleared stale deadline
poland-university-of-warsaw-geology-warsaw-master,Geology,University of Warsaw,2016-07-08,Cleared stale deadline
poland-jagiellonian-university-in-krakow-global-and-development-studies-krakow-bachelor,Global and Development Studies,Jagiellonian University in Kraków,2024-08-28,Cleared stale deadline
poland-sgh-warsaw-school-of-economics-global-business-finance-and-governance-warsaw-master,"Global business, finance and governance",SGH Warsaw School of Economics,2024-07-24,Cleared stale deadline
poland-sgh-warsaw-school-of-economics-global-business-finance-and-governance-warsaw-bachelor,"Global business, finance and governance",SGH Warsaw School of Economics,2024-07-24,Cleared stale deadline
poland-university-of-szczecin-global-communication-szczecin-bachelor,Global communication,University of Szczecin,2024-09-10,Cleared stale deadline
poland-university-of-humanities-and-economics-in-lodz-graphics-odz-bachelor,Graphics,University of Humanities and Economics in Lodz,2020-08-31,Cleared stale deadline
poland-gdansk-university-of-technology-green-technologies-and-monitoring-gdansk-master,Green technologies and monitoring,Gdańsk University of Technology,2024-02-05,Cleared stale deadline
poland-gdansk-university-of-technology-green-technologies-and-monitoring-gdansk-bachelor,Green technologies and monitoring,Gdańsk University of Technology,2024-07-10,Cleared stale deadline
poland-jan-dlugosz-university-in-czestochowa-health-science-czestochowa-phd,Health science,Jan Dlugosz University in Czestochowa,2024-07-31,Cleared stale deadline
poland-medical-university-of-silesia-health-science-silesia-bachelor,Health science,Medical University of Silesia,2020-08-03,Cleared stale deadline
poland-jan-dlugosz-university-in-czestochowa-history-czestochowa-phd,History,Jan Dlugosz University in Czestochowa,2024-07-31,Cleared stale deadline
poland-warsaw-university-of-life-sciences-sggw-horticulture-warsaw-master,Horticulture,Warsaw University of Life Sciences - SGGW,2017-01-15,Cleared stale deadline
poland-silesian-university-of-technology-industrial-and-engineering-chemistry-gliwice-bachelor,Industrial and Engineering Chemistry,Silesian University of Technology,2020-09-15,Cleared stale deadline
poland-silesian-university-of-technology-industrial-and-engineering-chemistry-gliwice-master,Industrial and Engineering Chemistry,Silesian University of Technology,2020-12-18,Cleared stale deadline
poland-university-of-warmia-and-mazury-in-olsztyn-informatics-olsztyn-bachelor,Informatics,University of Warmia and Mazury in Olsztyn,2020-07-07,Cleared stale deadline
poland-the-john-paul-ii-catholic-university-of-lublin-informatics-lublin-bachelor,Informatics,The John Paul II Catholic University of Lublin,2024-03-01,Cleared stale deadline
poland-silesian-university-of-technology-informatics-gliwice-master,Informatics,Silesian University of Technology,2020-12-18,Cleared stale deadline
poland-gdansk-university-of-technology-informatics-gdansk-master,Informatics,Gdańsk University of Technology,2024-02-05,Cleared stale deadline
poland-silesian-university-of-technology-informatics-gliwice-bachelor,Informatics,Silesian University of Technology,2020-09-15,Cleared stale deadline
poland-rzeszow-university-of-technology-informatics-control-engineering-and-robotics-rzeszow-master,"Informatics, control engineering and robotics",Rzeszow University of Technology,2015-07-20,Cleared stale deadline
poland-lodz-university-of-technology-information-science-odz-master,Information science,Lodz University of Technology,2025-07-10,Cleared stale deadline
poland-wroc-aw-university-of-economics-and-business-information-science-wroc-aw-bachelor,Information science,Wrocław University of Economics and Business,2024-08-01,Cleared stale deadline
poland-adam-mickiewicz-university-poznan-intercultural-communication-poznan-bachelor,Intercultural Communication,"Adam Mickiewicz University, Poznań",2023-07-11,Cleared stale deadline
poland-university-of-gdansk-intercultural-communication-gdansk-bachelor,Intercultural Communication,University of Gdansk,2020-09-07,Cleared stale deadline
poland-sgh-warsaw-school-of-economics-international-business-warsaw-master,International Business,SGH Warsaw School of Economics,2024-07-24,Cleared stale deadline
poland-wroc-aw-university-of-economics-and-business-international-business-wroc-aw-bachelor,International Business,Wrocław University of Economics and Business,2024-08-01,Cleared stale deadline
poland-cracow-university-of-economics-international-business-krakow-master,International Business,Cracow University of Economics,2016-06-26,Cleared stale deadline
poland-poznan-university-of-economics-and-business-international-business-poznan-bachelor,International Business,Poznań University of Economics and Business,2017-06-01,Cleared stale deadline
poland-poznan-university-of-economics-and-business-international-business-poznan-master,International Business,Poznań University of Economics and Business,2017-06-01,Cleared stale deadline
poland-university-of-warsaw-international-business-warsaw-master,International Business,University of Warsaw,2016-07-18,Cleared stale deadline
poland-andrzej-frycz-modrzewski-krakow-university-international-business-krakow-bachelor,International Business,Andrzej Frycz Modrzewski Kraków University,2015-09-25,Cleared stale deadline
poland-lazarski-university-international-business-warsaw-bachelor,International Business,Lazarski University,2024-08-30,Cleared stale deadline
poland-university-of-opole-international-business-opole-bachelor,International Business,University of Opole,2020-09-25,Cleared stale deadline
poland-university-of-information-technology-and-management-international-business-management-rzeszow-bachelor,International Business Management,University of Information Technology and Management,2016-09-30,Cleared stale deadline
poland-university-of-information-technology-and-management-international-business-management-rzeszow-master,International Business Management,University of Information Technology and Management,2016-09-30,Cleared stale deadline
poland-university-of-gdansk-international-economic-relations-gdansk-master,International economic relations,University of Gdansk,2020-08-10,Cleared stale deadline
poland-university-of-gdansk-international-economic-relations-gdansk-bachelor,International economic relations,University of Gdansk,2020-08-18,Cleared stale deadline
poland-sgh-warsaw-school-of-economics-international-economics-warsaw-bachelor,International economics,SGH Warsaw School of Economics,2024-07-24,Cleared stale deadline
poland-university-of-szczecin-international-economics-szczecin-master,International economics,University of Szczecin,2024-09-10,Cleared stale deadline
poland-lazarski-university-international-relations-warsaw-bachelor,International relations,Lazarski University,2024-08-30,Cleared stale deadline
poland-adam-mickiewicz-university-poznan-international-relations-poznan-bachelor,International relations,"Adam Mickiewicz University, Poznań",2023-07-11,Cleared stale deadline
poland-the-university-of-dabrowa-gornicza-international-relations-dabrowa-gornicza-bachelor,International relations,The University of Dąbrowa Górnicza,2017-09-30,Cleared stale deadline
poland-andrzej-frycz-modrzewski-krakow-university-international-relations-krakow-bachelor,International relations,Andrzej Frycz Modrzewski Kraków University,2015-09-25,Cleared stale deadline
poland-lazarski-university-international-relations-warsaw-master,International relations,Lazarski University,2024-08-30,Cleared stale deadline
poland-university-of-silesia-in-katowice-international-studies-of-political-science-and-diplomacy-silesia-in-k,International Studies of Political Science and Diplomacy,University of Silesia in Katowice,2024-07-21,Cleared stale deadline
poland-andrzej-frycz-modrzewski-krakow-university-international-relations-krakow-master,International relations,Andrzej Frycz Modrzewski Kraków University,2015-09-25,Cleared stale deadline
poland-university-college-of-enterprise-and-administration-in-lublin-international-relations-lublin-bachelor,International relations,University College of Enterprise and Administration in Lublin,2016-08-31,Cleared stale deadline
poland-university-of-silesia-in-katowice-international-studies-in-political-science-and-diplomacy-leadership-i,International Studies in Political Science and Diplomacy: Leadership in International Relations,University of Silesia in Katowice,2024-07-10,Cleared stale deadline
poland-university-of-warmia-and-mazury-in-olsztyn-international-relations-olsztyn-master,International relations,University of Warmia and Mazury in Olsztyn,2020-07-07,Cleared stale deadline
poland-jagiellonian-university-in-krakow-international-relations-and-area-studies-krakow-bachelor,International Relations and Area Studies,Jagiellonian University in Kraków,2024-05-28,Cleared stale deadline
poland-jagiellonian-university-in-krakow-international-relations-and-public-diplomacy-krakow-master,International Relations and Public Diplomacy,Jagiellonian University in Kraków,2024-07-26,Cleared stale deadline
poland-jagiellonian-university-in-krakow-international-security-and-development-krakow-master,International Security and Development,Jagiellonian University in Kraków,2024-08-28,Cleared stale deadline
poland-andrzej-frycz-modrzewski-krakow-university-international-tourism-hotel-industry-and-leisure-services-kr,"International tourism, hotel industry and leisure services",Andrzej Frycz Modrzewski Kraków University,2015-09-25,Cleared stale deadline
poland-the-karol-szymanowski-academy-of-music-in-katowice-jazz-and-stage-music-katowice-bachelor,Jazz and stage music,The Karol Szymanowski Academy of Music in Katowice,2016-09-05,Cleared stale deadline
poland-the-karol-szymanowski-academy-of-music-in-katowice-jazz-and-stage-music-katowice-master,Jazz and stage music,The Karol Szymanowski Academy of Music in Katowice,2016-09-05,Cleared stale deadline
poland-the-karol-lipinski-academy-of-music-in-wroc-aw-jazz-and-stage-music-wroc-aw-bachelor,Jazz and stage music,The Karol Lipiński Academy of Music in Wrocław,2016-08-16,Cleared stale deadline
poland-the-john-paul-ii-catholic-university-of-lublin-journalism-and-social-communication-lublin-bachelor,Journalism and social communication,The John Paul II Catholic University of Lublin,2024-03-01,Cleared stale deadline
poland-university-college-of-enterprise-and-administration-in-lublin-journalism-and-social-communication-lubli,Journalism and social communication,University College of Enterprise and Administration in Lublin,2016-08-31,Cleared stale deadline
poland-poznan-university-of-life-sciences-land-resource-management-poznan-bachelor,Land Resource Management,Poznań University of Life Sciences,2025-06-30,Cleared stale deadline
poland-bialystok-university-of-technology-landscape-architecture-bia-ystok-bachelor,Landscape architecture,Bialystok University of Technology,2016-08-15,Cleared stale deadline
poland-bialystok-university-of-technology-landscape-architecture-bia-ystok-master,Landscape architecture,Bialystok University of Technology,2017-01-15,Cleared stale deadline
poland-state-university-of-applied-sciences-in-konin-language-and-literature-studies-english-konin-master,Language and literature studies (English),State University of Applied Sciences in Konin,2016-08-31,Cleared stale deadline
poland-the-university-of-dabrowa-gornicza-language-and-literature-studies-english-dabrowa-gornicza-bachelor,Language and literature studies (English),The University of Dąbrowa Górnicza,2017-09-30,Cleared stale deadline
poland-jan-dlugosz-university-in-czestochowa-law-czestochowa-phd,Law,Jan Dlugosz University in Czestochowa,2024-07-31,Cleared stale deadline
poland-university-of-silesia-in-katowice-international-business-law-and-arbitration-ma-silesia-in-katowice-mas,International Business Law and Arbitration (MA),University of Silesia in Katowice,2024-09-22,Cleared stale deadline
poland-lazarski-university-law-warsaw-bachelor,Law,Lazarski University,2024-08-30,Cleared stale deadline
poland-adam-mickiewicz-university-poznan-linguistics-poznan-bachelor,Linguistics,"Adam Mickiewicz University, Poznań",2023-07-11,Cleared stale deadline
poland-krosno-state-college-linguistics-krosno-bachelor,Linguistics,Krosno State College,2016-09-15,Cleared stale deadline
poland-warsaw-university-of-technology-linguistics-warsaw-short-course,Linguistics,Warsaw University of Technology,2025-07-10,Cleared stale deadline
poland-jan-dlugosz-university-in-czestochowa-linguistics-czestochowa-phd,Linguistics,Jan Dlugosz University in Czestochowa,2024-07-31,Cleared stale deadline
poland-adam-mickiewicz-university-poznan-literary-studies-poznan-bachelor,Literary studies,"Adam Mickiewicz University, Poznań",2023-07-11,Cleared stale deadline
poland-jan-dlugosz-university-in-czestochowa-literary-studies-czestochowa-phd,Literary studies,Jan Dlugosz University in Czestochowa,2024-07-31,Cleared stale deadline
poland-university-of-warmia-and-mazury-in-olsztyn-logistics-olsztyn-master,Logistics,University of Warmia and Mazury in Olsztyn,2020-07-07,Cleared stale deadline
poland-czestochowa-university-of-technology-logistics-czestochowa-master,Logistics,Czestochowa University of Technology,2025-11-30,Cleared stale deadline
poland-university-of-information-technology-and-management-logistics-rzeszow-master,Logistics,University of Information Technology and Management,2016-09-30,Cleared stale deadline
poland-silesian-university-of-technology-logistics-gliwice-master,Logistics,Silesian University of Technology,2020-12-18,Cleared stale deadline
poland-uniwersytet-wsb-merito-opole-management-opole-master,Management,Uniwersytet WSB Merito Opole,2025-10-01,Cleared stale deadline
poland-lazarski-university-management-warsaw-master,Management,Lazarski University,2024-08-30,Cleared stale deadline
poland-rzeszow-university-of-technology-management-rzeszow-bachelor,Management,Rzeszow University of Technology,2015-07-20,Cleared stale deadline
poland-the-university-of-dabrowa-gornicza-management-dabrowa-gornicza-master,Management,The University of Dąbrowa Górnicza,2017-09-30,Cleared stale deadline
poland-university-of-warsaw-management-warsaw-phd,Management,University of Warsaw,2014-09-15,Cleared stale deadline
poland-wroc-aw-university-of-science-and-technology-management-wroc-aw-master,Management,Wrocław University of Science and Technology,2021-11-30,Cleared stale deadline
poland-wroc-aw-university-of-science-and-technology-management-wroc-aw-bachelor,Management,Wrocław University of Science and Technology,2021-08-14,Cleared stale deadline
poland-kozminski-university-management-warsaw-phd,Management,Kozminski University,2016-09-30,Cleared stale deadline
poland-bialystok-university-of-technology-management-bia-ystok-master,Management,Bialystok University of Technology,2016-08-15,Cleared stale deadline
poland-kozminski-university-management-warsaw-bachelor,Management,Kozminski University,2024-09-30,Cleared stale deadline
poland-silesian-university-of-technology-management-gliwice-master,Management,Silesian University of Technology,2020-09-15,Cleared stale deadline
poland-poznan-university-of-economics-and-business-management-poznan-master,Management,Poznań University of Economics and Business,2017-06-01,Cleared stale deadline
poland-czestochowa-university-of-technology-quality-and-production-management-czestochowa-master,Quality and Production Management,Czestochowa University of Technology,2025-10-30,Cleared stale deadline
poland-lazarski-university-management-warsaw-bachelor,Management,Lazarski University,2024-08-30,Cleared stale deadline
poland-university-of-zielona-gora-management-zielona-gora-master,Management,University of Zielona Gora,2023-10-01,Cleared stale deadline
poland-kielce-university-of-technology-management-and-production-engineering-kielce-bachelor,Management and production engineering,Kielce University of Technology,2024-08-31,Cleared stale deadline
poland-university-of-zielona-gora-management-and-production-engineering-zielona-gora-bachelor,Management and production engineering,University of Zielona Gora,2023-10-01,Cleared stale deadline
poland-university-of-zielona-gora-management-and-production-engineering-zielona-gora-master,Management and production engineering,University of Zielona Gora,2024-02-15,Cleared stale deadline
poland-czestochowa-university-of-technology-management-and-production-engineering-czestochowa-master,Management and production engineering,Czestochowa University of Technology,2025-11-30,Cleared stale deadline
poland-lodz-university-of-technology-management-and-production-engineering-odz-master,Management and production engineering,Lodz University of Technology,2025-07-10,Cleared stale deadline
poland-maritime-university-of-szczecin-marine-engineering-szczecin-bachelor,Marine Engineering,Maritime University of Szczecin,2025-07-15,Cleared stale deadline
poland-maritime-university-of-szczecin-marine-engineering-szczecin-master,Marine Engineering,Maritime University of Szczecin,2025-07-15,Cleared stale deadline
poland-silesian-university-of-technology-materials-engineering-gliwice-master,Materials engineering,Silesian University of Technology,2020-12-18,Cleared stale deadline
poland-military-university-of-technology-materials-engineering-warsaw-master,Materials engineering,Military University of Technology,2025-02-03,Cleared stale deadline
poland-warsaw-university-of-technology-materials-engineering-warsaw-master,Materials engineering,Warsaw University of Technology,2025-12-10,Cleared stale deadline
poland-university-of-silesia-in-katowice-materials-science-and-engineering-beng-silesia-in-katowice-bachelor,Materials Science and Engineering (BEng),University of Silesia in Katowice,2024-09-11,Cleared stale deadline
poland-wroc-aw-university-of-science-and-technology-materials-engineering-wroc-aw-master,Materials engineering,Wrocław University of Science and Technology,2021-08-14,Cleared stale deadline
poland-agh-university-of-krakow-materials-engineering-krakow-master,Materials engineering,AGH University of Krakow,2025-02-17,Cleared stale deadline
poland-university-of-zielona-gora-mathematics-zielona-gora-master,Mathematics,University of Zielona Góra,2025-10-01,Cleared stale deadline
poland-university-of-zielona-gora-mathematics-zielona-gora-bachelor,Mathematics,University of Zielona Góra,2025-10-01,Cleared stale deadline
poland-rzeszow-university-of-technology-mathematics-rzeszow-master,Mathematics,Rzeszow University of Technology,2015-07-20,Cleared stale deadline
poland-bialystok-university-of-technology-mathematics-bia-ystok-bachelor,Mathematics,Bialystok University of Technology,2016-08-15,Cleared stale deadline
poland-bialystok-university-of-technology-mathematics-bia-ystok-master,Mathematics,Bialystok University of Technology,2016-08-15,Cleared stale deadline
poland-military-university-of-technology-mechanical-engineering-warsaw-master,Mechanical engineering,Military University of Technology,2025-12-31,Cleared stale deadline
poland-kielce-university-of-technology-mechanical-engineering-kielce-bachelor,Mechanical engineering,Kielce University of Technology,2024-08-31,Cleared stale deadline
poland-gdansk-university-of-technology-mechanical-engineering-gdansk-master,Mechanical engineering,Gdańsk University of Technology,2024-02-05,Cleared stale deadline
poland-czestochowa-university-of-technology-msc-in-mechanical-engineering-specialisation-modelling-and-simulat,"MSc in Mechanical Engineering, specialisation Modelling and Simulation in Mechanics",Czestochowa University of Technology,2025-11-30,Cleared stale deadline
poland-lodz-university-of-technology-mechanical-engineering-odz-bachelor,Mechanical engineering,Lodz University of Technology,2025-07-10,Cleared stale deadline
poland-gdansk-university-of-technology-mechanical-engineering-gdansk-bachelor,Mechanical engineering,Gdańsk University of Technology,2024-07-10,Cleared stale deadline
poland-kielce-university-of-technology-mechanical-engineering-kielce-master,Mechanical engineering,Kielce University of Technology,2025-03-06,Cleared stale deadline
poland-agh-university-of-krakow-mechanical-engineering-krakow-bachelor,Mechanical engineering,AGH University of Krakow,2025-09-04,Cleared stale deadline
poland-rzeszow-university-of-technology-mechanical-engineering-rzeszow-master,Mechanical engineering,Rzeszow University of Technology,2015-07-20,Cleared stale deadline
poland-lodz-university-of-technology-mechanical-engineering-odz-master,Mechanical engineering,Lodz University of Technology,2025-07-10,Cleared stale deadline
poland-warsaw-university-of-technology-mechanical-engineering-warsaw-master,Mechanical engineering,Warsaw University of Technology,2025-07-21,Cleared stale deadline
poland-maritime-university-of-szczecin-mechanics-and-machine-building-szczecin-bachelor,Mechanics and machine building,Maritime University of Szczecin,2019-07-10,Cleared stale deadline
poland-wroc-aw-university-of-science-and-technology-wroc-aw-univeristy-of-science-and-technology-wroc-aw-bache,Wrocław Univeristy of Science and Technology,Wrocław University of Science and Technology,2021-08-14,Cleared stale deadline
poland-cracow-university-of-technology-mechanics-and-machine-design-krakow-master,Mechanics and machine design,Cracow University of Technology,2021-02-05,Cleared stale deadline
poland-cracow-university-of-technology-mechanics-and-machine-design-krakow-bachelor,Mechanics and machine design,Cracow University of Technology,2020-07-31,Cleared stale deadline
poland-silesian-university-of-technology-mechanics-and-machine-design-gliwice-bachelor,Mechanics and machine design,Silesian University of Technology,2020-09-15,Cleared stale deadline
poland-silesian-university-of-technology-mechanics-and-machine-design-gliwice-master,Mechanics and machine design,Silesian University of Technology,2020-12-18,Cleared stale deadline
poland-warsaw-university-of-technology-mechatronic-systems-and-materials-warsaw-bachelor,Mechatronic systems and materials,Warsaw University of Technology,2025-07-21,Cleared stale deadline
poland-bialystok-university-of-technology-mechatronic-systems-and-materials-bia-ystok-bachelor,Mechatronic systems and materials,Bialystok University of Technology,2016-08-15,Cleared stale deadline
poland-agh-university-of-krakow-mechatronics-krakow-bachelor,Mechatronics,AGH University of Krakow,2025-09-04,Cleared stale deadline
poland-warsaw-university-of-technology-mechatronics-warsaw-bachelor,Mechatronics,Warsaw University of Technology,2025-07-21,Cleared stale deadline
poland-silesian-university-of-technology-mechatronics-gliwice-master,Mechatronics,Silesian University of Technology,2020-12-18,Cleared stale deadline
poland-military-university-of-technology-mechatronics-warsaw-bachelor,Mechatronics,Military University of Technology,2025-07-14,Cleared stale deadline
poland-agh-university-of-krakow-mechatronics-krakow-master,Mechatronics,AGH University of Krakow,2025-09-04,Cleared stale deadline
poland-the-pontifical-university-of-john-paul-ii-in-krakow-communication-and-media-studies-john-paul-ii-in-kra,Communication and Media Studies,The Pontifical University of John Paul II in Krakow,2025-09-30,Cleared stale deadline
poland-jagiellonian-university-in-krakow-medical-doctor-program-in-english-krakow-master,Medical Doctor program in English,Jagiellonian University in Kraków,2024-05-08,Cleared stale deadline
poland-medical-university-of-warsaw-medical-doctor-program-in-english-warsaw-master,Medical Doctor program in English,Medical University of Warsaw,2021-06-25,Cleared stale deadline
poland-poznan-university-of-medical-sciences-medicine-poznan-master,Medicine,Poznan University of Medical Sciences,2022-07-15,Cleared stale deadline
poland-nicolaus-copernicus-university-collegium-medicum-medicine-bydgoszcz-master,Medicine,Nicolaus Copernicus University Collegium Medicum,2022-07-31,Cleared stale deadline
poland-medical-university-of-gdansk-medicine-gdansk-phd,Medicine,Medical University of Gdańsk,2016-09-30,Cleared stale deadline
poland-medical-university-of-gdansk-medicine-gdansk-master,Medicine,Medical University of Gdańsk,2023-03-06,Cleared stale deadline
poland-university-of-rzeszow-medicine-rzeszow-master,Medicine,University of Rzeszów,2025-09-15,Cleared stale deadline
poland-adam-mickiewicz-university-poznan-mediterranean-studies-poznan-master,Mediterranean studies,"Adam Mickiewicz University, Poznań",2023-07-19,Cleared stale deadline
poland-wroc-aw-university-of-science-and-technology-mining-and-engineering-geology-wroc-aw-master,Mining and engineering geology,Wrocław University of Science and Technology,2021-11-30,Cleared stale deadline
