id,program_name,university_name,original_deadline,action_taken
poland-jan-kochanowski-university-of-kielce-arts-kielce-bachelor,Arts,Jan Kochanowski University of Kielce,2020-10-04,Cleared stale deadline
poland-jan-kochanowski-university-of-kielce-arts-kielce-master,Arts,Jan Kochanowski University of Kielce,2020-10-04,Cleared stale deadline
poland-university-of-arts-in-poznan-arts-arts-in-poznan-bachelor,Arts,University of Arts in Poznan,2016-06-30,Cleared stale deadline
poland-university-of-arts-in-poznan-arts-poznan-master,Arts,University of Arts In Poznan,2016-06-30,Cleared stale deadline
poland-agh-university-of-krakow-astronomy-krakow-master,Astronomy,AGH University of Krakow,2025-02-06,Cleared stale deadline
poland-university-of-zielona-gora-astronomy-zielona-gora-bachelor,Astronomy,University of Zielona Gora,2024-10-01,Cleared stale deadline
poland-warsaw-university-of-technology-automatic-control-and-robotics-warsaw-master,Automatic control and robotics,Warsaw University of Technology,2025-07-21,Cleared stale deadline
poland-wroc-aw-university-of-science-and-technology-automatic-control-and-robotics-wroc-aw-master,Automatic control and robotics,Wrocław University of Science and Technology,2021-11-30,Cleared stale deadline
poland-silesian-university-of-technology-silesian-univeristy-of-technology-msc-automation-and-robotics-integra,Silesian Univeristy of Technology - Msc Automation And Robotics Integrated Manufacturing Systems Under Patronage Balluff Company?Search=670,Silesian University of Technology,2020-12-18,Cleared stale deadline
poland-silesian-university-of-technology-silesian-univeristy-of-technology-msc-mechanics-and-machine-design-li,Silesian Univeristy of Technology - Msc Mechanics And Machine Design Lightweight Structures Under Patronage Silesian Aviation Cluster?Search=682,Silesian University of Technology,2020-12-19,Cleared stale deadline
poland-gdansk-university-of-technology-automation-cybernetics-and-robotics-gdansk-master,"Automation, Cybernetics and Robotics",Gdańsk University of Technology,2024-02-05,Cleared stale deadline
poland-lazarski-university-aviation-management-warsaw-bachelor,Aviation management,Lazarski University,2024-08-30,Cleared stale deadline
poland-university-of-information-technology-and-management-aviation-management-rzeszow-bachelor,Aviation management,University of Information Technology and Management,2016-09-30,Cleared stale deadline
poland-adam-mickiewicz-university-poznan-balkan-studies-poznan-bachelor,Balkan studies,"Adam Mickiewicz University, Poznań",2023-07-11,Cleared stale deadline
poland-university-of-szczecin-baltic-sea-region-studies-szczecin-bachelor,Baltic Sea region studies,University of Szczecin,2024-09-10,Cleared stale deadline
poland-nicolaus-copernicus-university-biological-sciences-torun-master,Biological Sciences,Nicolaus Copernicus University,2024-08-04,Cleared stale deadline
poland-university-of-szczecin-biological-sciences-szczecin-bachelor,Biological Sciences,University of Szczecin,2024-09-10,Cleared stale deadline
poland-university-of-warmia-and-mazury-in-olsztyn-biology-olsztyn-bachelor,Biology,University of Warmia and Mazury in Olsztyn,2020-07-07,Cleared stale deadline
poland-wroc-aw-university-of-environmental-and-life-sciences-biology-wroc-aw-phd,Biology,Wrocław University of Environmental and Life Sciences,2022-05-30,Cleared stale deadline
poland-university-of-warsaw-biology-warsaw-phd,Biology,University of Warsaw,2014-06-30,Cleared stale deadline
poland-silesian-university-of-technology-biomedical-engineering-gliwice-bachelor,Biomedical engineering,Silesian University of Technology,2020-09-15,Cleared stale deadline
poland-lodz-university-of-technology-biomedical-engineering-odz-bachelor,Biomedical engineering,Lodz University of Technology,2025-07-10,Cleared stale deadline
