id,program_name,university_name,inferred_format,format_rule,inferred_pace,pace_rule
poland-university-of-warsaw-physics-and-astronomy-warsaw-phd,Physics and astronomy,University of Warsaw,Online,keyword,Full-time,default
poland-nicolaus-copernicus-university-physics-and-astronomy-torun-master,Physics and astronomy,Nicolaus Copernicus University,On Campus,default,Full-time,keyword
poland-university-of-humanities-and-economics-in-lodz-political-science-odz-bachelor,Political science,University of Humanities and Economics in Lodz,Online,keyword,Part-time,keyword
poland-university-of-humanities-and-economics-in-lodz-political-science-odz-master,Political science,University of Humanities and Economics in Lodz,Online,keyword,Full-time,keyword
poland-adam-mickiewicz-university-poznan-public-management-poznan-master,Public management,"Adam Mickiewicz University, Poznań",Online,keyword,Full-time,default
poland-university-of-silesia-in-katowice-creative-management-in-new-media-ma-silesia-in-katowice-master,Creative management in new media (MA),University of Silesia in Katowice,Online,keyword,Full-time,default
poland-jan-dlugosz-university-in-czestochowa-security-studies-czestochowa-phd,Security studies,Jan Dlugosz University in Czestochowa,On Campus,default,Full-time,keyword
poland-university-of-warsaw-security-studies-warsaw-master,Security studies,University of Warsaw,On Campus,default,Full-time,keyword
poland-university-college-of-enterprise-and-administration-in-lublin-sociology-lublin-master,Sociology,University College of Enterprise and Administration in Lublin,On Campus,default,Full-time,keyword
poland-university-of-humanities-and-economics-in-lodz-tourism-and-recreation-odz-bachelor,Tourism and recreation,University of Humanities and Economics in Lodz,Online,keyword,Full-time,keyword
poland-university-college-of-enterprise-and-administration-in-lublin-transport-lublin-bachelor,Transport,University College of Enterprise and Administration in Lublin,On Campus,default,Full-time,keyword
