id,program_name,university_name,country,city,tuition_per_semester,degree_level,field_of_study,language_of_instruction,semester_fee,application_fee,living_cost_per_month,official_url,direct_application_url,source_url,full_description_text,program_duration_months,duration,intake,application_deadline,format,pace
portugal-universidade-de-aveiro-engineering-physics-aveiro-bachelor,Engineering Physics,Universidade de Aveiro,Portugal,Aveiro,2500,Bachelor,Física,Portuguese,100,70,565-815 EUR,https://www.ua.pt/pt/curso/485,https://paco.ua.pt/CandidaturasUA/Geral/Default.aspx,https://www.dges.gov.pt/en/pesquisa_cursos_instituicoes?tipo_ensino=1&tipo_curso=8,"A licenciatura em Engenharia Física pretende formar Engenharos Físicos de primeiro ciclo, oferecendo um plano curricular que contempla as disciplinas básicos de física clássica e moderna, de fundamentos de cálculo matemático e álgebra linear, de programação, de instrumentação de química e ainda em áreas transferíveis em engenharia como desenho técnico, electrónica e gestão. O que diferencia este curso de engenharia de outros é a formação em disciplinas como ótica, física quântica, física do estado sólido e física nuclear - áreas que normalmente não são cobertas noutros cursos de engenharia. As competências nestes domínios são cruciais para enfrentar desafios contemporâneos como as alterações climáticas, exigindo melhorias na eficiência energética e a promoção de tecnologias limpas. Estas competências são ainda essenciais para a investigação industrial em geral, e particularmente em áreas cruciais para o avanço da Indústria 4.0 e inovação em campos como a saúde (promovendo...",36,3 anos / 6 semestres,Autumn,2026-07-09,On Campus,Full-time
portugal-universidade-de-aveiro-engineering-physics-aveiro-master,Engineering Physics,Universidade de Aveiro,Portugal,Aveiro,2500,Master,Física,Portuguese / English,100,20,565-815 EUR,https://www.ua.pt/pt/curso/497,https://paco.ua.pt/CandidaturasPG/main.aspx,https://www.dges.gov.pt/en/pesquisa_cursos_instituicoes?tipo_ensino=1&tipo_curso=9,"O Mestrado em Engenharia Física da Universidade de Aveiro é um programa de pós-graduação nas áreas STEM que proporciona uma formação avançada rigorosa e orientada para a aplicação prática nas áreas de física aplicada e engenharia, preparando os estudantes para enfrentar desafios complexos e atuar em setores de vanguarda, contribuindo para o desenvolvimento da indústria 4.0 através da inovação em produtos e processos que permitam o empoderamento das empresas.",24,2 anos,Check official site,2026-09-04,On Campus,Full-time
portugal-universidade-de-aveiro-environment-and-health-aveiro-master,Environment and Health,Universidade de Aveiro,Portugal,Aveiro,2500,Master,Tecnologia de proteção do ambiente,Portuguese / English,100,20,565-815 EUR,https://www.ua.pt/pt/curso/1527,https://paco.ua.pt/CandidaturasPG/main.aspx,https://www.dges.gov.pt/en/pesquisa_cursos_instituicoes?tipo_ensino=1&tipo_curso=9,"O Mestrado em Ambiente e Saúde forma profissionais capazes de analisar e abordar as conexões fundamentais entre o ambiente e a saúde pública e humana. Este programa oferece uma formação abrangente para compreender os impactos dos fatores ambientais na saúde, capacitando os estudantes a desenvolver soluções sustentáveis que protejam tanto o ambiente como o bem-estar humano.",24,2 anos,Check official site,2026-09-04,On Campus,Full-time
portugal-universidade-de-aveiro-environmental-engineering-aveiro-master,Environmental Engineering,Universidade de Aveiro,Portugal,Aveiro,2500,Master,Tecnologia de proteção do ambiente,Portuguese / English,100,20,565-815 EUR,https://www.ua.pt/pt/curso/498,https://paco.ua.pt/CandidaturasPG/main.aspx,https://www.dges.gov.pt/en/pesquisa_cursos_instituicoes?tipo_ensino=1&tipo_curso=9,"O mestrado em Engenharia do Ambiente da Universidade de Aveiro (UA) tem como objetivo formar profissionais capazes de prever e caracterizar problemas e disfunções ambientais, e de propor soluções técnica e economicamente viáveis para os prevenir, mitigar ou resolver. Este curso assenta na vasta experiência e competência em Engenharia do Ambiente, refletindo o compromisso da UA com um projeto educativo que promove a integração de conhecimentos e uma abordagem holística, assegurando uma formação de natureza transdisciplinar e abrangente, no contexto europeu. Esta abordagem permite aos estudantes desenvolver competências que potenciam a flexibilidade e a mobilidade profissional.",24,2 anos,Check official site,2026-09-04,On Campus,Full-time
portugal-universidade-de-aveiro-environmental-management-and-assessment-aveiro-master,Environmental Management and Assessment,Universidade de Aveiro,Portugal,Aveiro,2075,Master,Ciências do ambiente,Portuguese / English,83,20,565-815 EUR,https://www.ua.pt/pt/curso/1624,https://paco.ua.pt/CandidaturasPG/main.aspx,https://www.dges.gov.pt/en/pesquisa_cursos_instituicoes?tipo_ensino=1&tipo_curso=9,"O Mestrado em Avaliação e Gestão Ambiental é uma formação avançada e especializada voltada para profissionais do setor público e privado que atuam na gestão e minimização dos impactos ambientais associados às atividades humanas. Este mestrado oferece uma resposta estratégica e inovadora aos crescentes desafios planetários relacionados com poluição, alterações climáticas, degradação dos ecossistemas e uso sustentável dos recursos naturais.",24,2 anos,Check official site,2026-09-04,On Campus,Full-time
portugal-universidade-de-aveiro-geological-engineering-aveiro-master,Geological Engineering,Universidade de Aveiro,Portugal,Aveiro,2500,Master,Ciências da terra,Portuguese,100,20,565-815 EUR,https://www.ua.pt/pt/curso/97,https://paco.ua.pt/CandidaturasPG/main.aspx,https://www.dges.gov.pt/en/pesquisa_cursos_instituicoes?tipo_ensino=1&tipo_curso=9,"O Mestrado em Engenharia Geológica tem como objetivo formar profissionais qualificados na resposta a desafios relacionados com: (i) a avaliação e exploração de recursos geológicos, (ii) a classificação e mitigação de impactes ambientais e (iii) a aquisição e interpretação de dados geotécnicos. Este curso oferece uma formação sólida e especializada, capacitando os estudantes para o desenvolvimento de soluções inovadoras e sustentáveis, numa lógica aplicada à resolução de problemas concretos no campo da Engenharia Geológica.",24,2 anos - 4 semestres,Check official site,2026-09-04,On Campus,Full-time
portugal-universidade-de-aveiro-geomaterials-and-geological-resources-aveiro-master,Geomaterials and Geological Resources,Universidade de Aveiro,Portugal,Aveiro,2500,Master,Ciências da terra,Portuguese,100,20,565-815 EUR,https://www.ua.pt/pt/curso/98,https://paco.ua.pt/CandidaturasPG/main.aspx,https://www.dges.gov.pt/en/pesquisa_cursos_instituicoes?tipo_ensino=1&tipo_curso=9,"O Mestrado em Geomateriais e Recursos Geológicos é um curso promovido conjuntamente pelas universidades de Aveiro e do Porto, beneficiando da conjugação das áreas em que estas universidades atingiram maior grau de especialização, no que diz respeito a recursos minerais e energéticos.",24,2 anos - 4 semestres,Check official site,2026-09-04,On Campus,Full-time
portugal-universidade-de-aveiro-health-psychology-and-neuropsychology-rehabilitation-aveiro-master,Health Psychology and Neuropsychology Rehabilitation,Universidade de Aveiro,Portugal,Aveiro,1750,Master,Psicologia,Portuguese,70,20,565-815 EUR,https://www.ua.pt/pt/curso/1528,https://paco.ua.pt/CandidaturasPG/main.aspx,https://www.dges.gov.pt/en/pesquisa_cursos_instituicoes?tipo_ensino=1&tipo_curso=9,A oferta do 2.º Ciclo de Estudos da Universidade de Aveiro na área da Psicologia tem como objetivo dotar os estudantes de competências profissionais e pessoais reconhecidas como fundamentais ao exercício da profissão de Psicólogo.,24,2 anos - 4 semestres,Check official site,2026-09-04,On Campus,Full-time
portugal-universidade-de-aveiro-industrial-engineering-and-management-aveiro-bachelor,Industrial Engineering and Management,Universidade de Aveiro,Portugal,Aveiro,2075,Bachelor,Engenharias e técnicas afins - programas não classificados noutra área de formação,Portuguese,83,70,565-815 EUR,https://www.ua.pt/pt/curso/481,https://paco.ua.pt/CandidaturasUA/Geral/Default.aspx,https://www.dges.gov.pt/en/pesquisa_cursos_instituicoes?tipo_ensino=1&tipo_curso=8,"A Licenciatura em Engenharia e Gestão Industrial (LEGI) da UA tem como objetivo formar diplomados com uma formação sólida e multidisciplinar nas ciências de base e nas ciências aplicadas aos sistemas de engenharia (área STEM), e com um domínio dos conceitos, métodos e ferramentas da Engenharia e Gestão Industrial (EGI), nomeadamente nas áreas da Produção Sustentável, Logística e Qualidade, bem como na Gestão de Energia, Sistemas de Informação e Apoio à Decisão. Pretende-se ainda dotar os profissionais de conhecimentos e competências em disciplinas da área das Ciências Sociais, incluindo a Gestão e a Contabilidade.",36,6 semesters,Autumn,2026-07-09,On Campus,Full-time
portugal-universidade-de-aveiro-industrial-engineering-and-management-aveiro-master,Industrial Engineering and Management,Universidade de Aveiro,Portugal,Aveiro,2075,Master,Engenharias e técnicas afins - programas não classificados noutra área de formação,Portuguese,83,20,565-815 EUR,https://www.ua.pt/pt/curso/499,https://paco.ua.pt/CandidaturasPG/main.aspx,https://www.dges.gov.pt/en/pesquisa_cursos_instituicoes?tipo_ensino=1&tipo_curso=9,"O Mestrado (2º ciclo) em Engenharia e Gestão Industrial (MEGI) da UA, desenvolvido em articulação com os 1º e 3º ciclos em Engenharia e Gestão Industrial (EGI | UA), tem como objetivo promover uma educação inclusiva nas áreas da Engenharia Industrial, formando quadros com a capacidade de planear, gerir e controlar sistemas complexos com vista a uma produção sustentável, bem como uma gestão sustentável das cadeias de abastecimento. Esta formação incorpora diretrizes específicas que promovem o equilíbrio entre progresso económico e responsabilidade social, oferecendo aos estudantes um conjunto de ferramentas da engenharia e da gestão por forma a poderem enfrentar os desafios societais, em ecossistemas globais e ambientes industriais. Este mestrado prepara, ainda, profissionais para promover ambientes de trabalho seguros, inclusivos e produtivos, incentivando o desenvolvimento económico sustentável, enquanto reduz o impacto ambiental e promove a sustentabilidade social. O ciclo de estudos (CE) centra a sua formação em áreas de especialização da EGI, complementando com outras áreas das ciências de engenharia e da gestão, por forma a promover o crescimento das organizações com base nos princípios do trabalho digno e da sustentabilidade social e...",24,2 anos,Check official site,2026-09-04,On Campus,Full-time
